total_calls,high_priority,medium_priority,low_priority,gridid,objectid,Shape__Area,Shape__Length
2637,155,668,1814,882a134001fffff,1,1252007.08984375,4168.4377138486
290,26,72,192,882a134003fffff,2,1251529.52734375,4167.64787379413
2107,148,723,1236,882a134005fffff,3,1252150.3671875,4168.67415711589
563,4,43,516,882a134007fffff,4,1251673.77734375,4167.88601978484
1517,55,332,1130,882a134009fffff,5,1252337.25,4168.98388835537
490,15,63,412,882a13400bfffff,6,1251859.5,4168.19383489117
944,41,199,704,882a13400dfffff,7,1252483.7890625,4169.22593020291
2877,217,863,1797,882a134021fffff,8,1251967.24609375,4168.37092421259
3670,141,574,2955,882a134023fffff,9,1251489.578125,4167.58087987584
1346,73,370,903,882a134025fffff,10,1252114.4453125,4168.61411036717
7985,1308,2266,4411,882a134027fffff,11,1251636.8203125,4167.8242293058
1312,200,425,687,882a134029fffff,12,1252297.75390625,4168.91764184048
3315,315,898,2102,882a13402bfffff,13,1251819.96875,4168.12753177645
1741,34,405,1302,882a13402dfffff,14,1252445.0546875,4169.16099195497
25,1,4,20,882a134031fffff,15,1250865.1875,4166.54815307295
1871,47,338,1486,882a134035fffff,16,1251012.3359375,4166.79140891477
4,0,0,4,882a134037fffff,17,1250535.0390625,4166.00168016694
0,0,0,0,882a134039fffff,18,1251197.46484375,4167.0982409388
0,0,0,0,882a13403bfffff,19,1250721.02734375,4166.31013099775
1045,8,89,948,882a13403dfffff,20,1251342.328125,4167.33751098979
1742,177,717,848,882a134041fffff,21,1253145.7421875,4170.3207486958
174,3,19,152,882a134043fffff,22,1252667.63671875,4169.53034954015
1215,73,305,837,882a134045fffff,23,1253293.59765625,4170.56495951701
1037,65,299,673,882a134047fffff,24,1252815.18359375,4169.77409049482
193,10,86,97,882a134049fffff,25,1253476.16796875,4170.86711292598
3495,215,1009,2271,882a13404dfffff,26,1253623.9375,4171.11111669287
25,0,1,24,882a134055fffff,27,1252189.59765625,4168.7399299754
1318,61,357,900,882a134061fffff,28,1253106.3671875,4170.25472834466
3218,477,1140,1601,882a134063fffff,29,1252628.16796875,4169.4641803562
2082,124,541,1417,882a134065fffff,30,1253253.58203125,4170.49789210819
1661,129,484,1048,882a134067fffff,31,1252775.55078125,4169.70764217248
1495,392,576,527,882a134069fffff,32,1253438.3984375,4170.80383903186
518,16,165,337,882a13406bfffff,33,1252960.69921875,4170.01433945782
1904,96,419,1389,882a13406dfffff,34,1253584.6015625,4171.04520655523
3006,202,812,1992,882a134101fffff,35,1253033.69140625,4170.1334154349
4248,274,1229,2745,882a134103fffff,36,1252555.625,4169.34304092695
3555,312,834,2409,882a134105fffff,37,1253180.578125,4170.37603091733
3353,227,990,2136,882a134107fffff,38,1252702.5859375,4169.58583717013
2867,109,639,2119,882a134109fffff,39,1253364.73046875,4170.68081460498
2906,418,847,1641,882a13410bfffff,40,1252886.58984375,4169.89043425864
1937,115,461,1361,882a13410dfffff,41,1253511.6328125,4170.92341558377
5689,379,1849,3461,882a134111fffff,42,1251931.05859375,4168.31045071094
8613,564,1647,6402,882a134113fffff,43,1251453.5078125,4167.52060156391
8611,881,2998,4732,882a134115fffff,44,1252077.85546875,4168.55299695659
6747,522,2080,4145,882a134117fffff,45,1251600.4375,4167.76343677875
1487,76,458,953,882a134119fffff,46,1252261.78515625,4168.85759576745
3766,375,1149,2242,882a13411bfffff,47,1251783.85546875,4168.0672203603
6340,392,1497,4451,882a13411dfffff,48,1252408.8671875,4169.10057662286
4074,557,1094,2423,882a134123fffff,49,1252518.07421875,4169.28036470533
1521,53,496,972,882a134129fffff,50,1253327.4296875,4170.61856876814
4376,469,1395,2512,882a13412bfffff,51,1252849.3203125,4169.82823190026
15,0,6,9,882a13412dfffff,52,1253474.25,4170.86105671042
7021,531,1943,4547,882a134131fffff,53,1251893.98828125,4168.24853741051
7647,672,2087,4888,882a134133fffff,54,1251416.56640625,4167.45892551442
4250,311,1329,2610,882a134135fffff,55,1252040.58984375,4168.49080275416
3476,359,1010,2107,882a134137fffff,56,1251563.16015625,4167.7011911209
5130,409,1129,3592,882a134139fffff,57,1252224.78125,4168.79579198583
12284,778,2193,9313,882a13413bfffff,58,1251747.3828125,4168.00627896228
4026,232,780,3014,882a13413dfffff,59,1252371.6328125,4169.0384426782
537,43,193,301,882a134141fffff,60,1254174.46875,4172.01921427306
2265,103,523,1639,882a134143fffff,61,1253695.88671875,4171.22832569314
627,10,77,540,882a134145fffff,62,1254321.82421875,4172.26251050808
333,40,89,204,882a134147fffff,63,1253843.37109375,4171.4719123499
2662,299,705,1658,882a134149fffff,64,1254505.87890625,4172.56699899637
1749,70,399,1280,882a13414bfffff,65,1254027.15234375,4171.7760000751
857,38,202,617,882a13414dfffff,66,1254653.05078125,4172.80994224657
1432,39,229,1164,882a134151fffff,67,1253070.3203125,4170.19456494127
1212,63,357,792,882a134153fffff,68,1252592.30078125,4169.4042885003
3293,449,856,1988,882a134155fffff,69,1253217.62890625,4170.43786557532
10805,949,2660,7196,882a134157fffff,70,1252739.60546875,4169.64762606513
4109,355,1172,2582,882a134159fffff,71,1253401.37890625,4170.74198305282
2290,138,569,1583,882a13415bfffff,72,1252923.05859375,4169.9513114826
2016,89,484,1443,882a13415dfffff,73,1253548.6640625,4170.9852076043
1658,116,596,946,882a134161fffff,74,1254137.41796875,4171.95740125742
2091,368,624,1099,882a134163fffff,75,1253658.953125,4171.16672058749
289,23,75,191,882a134167fffff,76,1253805.64453125,4171.40892840956
472,22,116,334,882a134169fffff,77,1254468.73828125,4172.50502803082
1518,90,417,1011,882a13416bfffff,78,1253989.97265625,4171.71393780932
8,2,1,5,882a134181fffff,79,1249692.5625,4164.60661878228
4718,890,863,2965,882a134185fffff,80,1249839.25390625,4164.84923279005
194,27,44,123,882a134187fffff,81,1249363.53125,4164.06171858395
114,4,23,87,882a134189fffff,82,1250022.55078125,4165.15295454782
4479,376,1157,2946,882a13418dfffff,83,1250169.34765625,4165.39575075196
5812,616,1754,3442,882a1341a1fffff,84,1249655.59375,4164.54485636509
3726,368,1083,2275,882a1341a3fffff,85,1249181.0078125,4163.75905091351
9350,1045,3001,5304,882a1341a5fffff,86,1249802.0390625,4164.78702422077
3461,480,1441,1540,882a1341a7fffff,87,1249326.5546875,4163.99989508415
8998,1016,2938,5044,882a1341a9fffff,88,1249985.7421875,4165.09146738901
1957,160,592,1205,882a1341abfffff,89,1249509.29296875,4164.30286459464
12963,1453,4037,7473,882a1341adfffff,90,1250132.34765625,4165.33392449617
81,4,31,46,882a1341b1fffff,91,1248559.79296875,4162.73054281799
0,0,0,0,882a1341b3fffff,92,1248083.9609375,4161.94254567507
366,16,71,279,882a1341b5fffff,93,1248705.9765625,4162.97245487418
128,12,64,52,882a1341b7fffff,94,1248229.80078125,4162.18390337411
0,0,0,0,882a1341b9fffff,95,1248889.40625,4163.27655391346
1718,168,467,1083,882a1341bdfffff,96,1249035.60546875,4163.51843562066
7863,689,2337,4837,882a1341c1fffff,97,1250829.28125,4166.48813889142
987,25,145,817,882a1341c3fffff,98,1250352.515625,4165.69924229399
4776,469,1529,2778,882a1341c5fffff,99,1250976.2890625,4166.73114934811
5884,583,1772,3529,882a1341c7fffff,100,1250499.265625,4165.94190815128
6072,530,1521,4021,882a1341c9fffff,101,1251159.5625,4167.03477537739
1600,56,437,1107,882a1341cbfffff,102,1250682.53515625,4166.24555254279
8889,817,2512,5560,882a1341cdfffff,103,1251306.5859375,4167.27777543956
0,0,0,0,882a1341ddfffff,104,1250205.578125,4165.45629315014
4569,579,1400,2590,882a1341e1fffff,105,1250793.0078125,4166.42751985236
7984,821,2349,4814,882a1341e3fffff,106,1250315.90625,4165.63807810772
6779,648,1686,4445,882a1341e5fffff,107,1250939.43359375,4166.66959947509
12677,1514,4303,6860,882a1341e7fffff,108,1250462.6328125,4165.88068650795
12403,2125,2998,7280,882a1341e9fffff,109,1251123.00390625,4166.97369595826
7722,670,2485,4567,882a1341ebfffff,110,1250646.25,4166.18488538954
7353,871,2515,3967,882a1341edfffff,111,1251269.94921875,4167.21657438845
3872,352,1249,2271,882a134221fffff,112,1254285.60546875,4172.20493505571
209,8,77,124,882a134223fffff,113,1253806.55078125,4171.41333284187
2449,202,890,1357,882a134225fffff,114,1254433.3984375,4172.44895471229
1223,64,375,784,882a134227fffff,115,1253954.7265625,4171.65799788766
1362,150,551,661,882a134229fffff,116,1254616.04296875,4172.75108753532
168,15,41,112,882a13422bfffff,117,1254137.12109375,4171.95979867841
1874,177,602,1095,882a13422dfffff,118,1254764.1875,4172.99562564574
0,0,0,0,882a134263fffff,119,1254946.921875,4173.29788620885
195,19,92,84,882a134265fffff,120,1255574.74609375,4174.33464173121
946,78,379,489,882a134267fffff,121,1255095.0859375,4173.54242878376
6630,322,861,5447,882a134301fffff,122,1255352.5,4173.96632042026
1091,23,155,913,882a134303fffff,123,1254873.2265625,4173.1746558517
2786,141,790,1855,882a134305fffff,124,1255500.23828125,4174.21011127983
3459,186,915,2358,882a134307fffff,125,1255021.0234375,4173.41860460603
2389,368,986,1035,882a134309fffff,126,1255684.078125,4174.51414845972
390,21,183,186,882a13430bfffff,127,1255205.94921875,4173.7245355299
384,14,109,261,882a13430dfffff,128,1255831.8359375,4174.75793917835
1363,76,343,944,882a134311fffff,129,1254249.5859375,4172.14479978996
1574,107,478,989,882a134313fffff,130,1253771.7890625,4171.35530220946
18,1,6,11,882a134315fffff,131,1254394.16796875,4172.38325390542
332,19,118,195,882a134317fffff,132,1253915.76171875,4171.59274365709
744,52,254,438,882a134319fffff,133,1254581.40625,4172.69329289298
1574,137,467,970,882a13431bfffff,134,1254102.453125,4171.90193002879
72,5,20,47,882a13431dfffff,135,1254727.5546875,4172.93440256621
632,19,205,408,882a134321fffff,136,1255316.359375,4173.90603566786
1039,29,120,890,882a134323fffff,137,1254837.28515625,4173.11468337429
627,37,207,383,882a134325fffff,138,1255463.9609375,4174.14961921712
1418,54,350,1014,882a134327fffff,139,1254984.796875,4173.35815619099
2034,54,536,1444,882a134329fffff,140,1255648.1640625,4174.45421747169
3055,134,637,2284,882a13432bfffff,141,1255168.83203125,4173.66253999348
1172,18,175,979,882a13432dfffff,142,1255795.73828125,4174.69774626798
3891,197,1334,2360,882a134331fffff,143,1254211,4172.08016081802
1022,106,415,501,882a134333fffff,144,1253732.203125,4171.28898062658
3244,162,1153,1929,882a134335fffff,145,1254358.21875,4172.32322159051
4466,360,1280,2826,882a134337fffff,146,1253879.7265625,4171.53255878849
739,53,326,360,882a134339fffff,147,1254542.0625,4172.62735482788
0,0,0,0,882a13433bfffff,148,1254063.05078125,4171.83590808367
2073,95,529,1449,882a13433dfffff,149,1254689.7421875,4172.87115951159
926,37,212,677,882a134341fffff,150,1256497.1640625,4175.85703203788
889,12,225,652,882a134343fffff,151,1256018.6796875,4175.06711047555
860,14,217,629,882a134345fffff,152,1256643.15625,4176.09770066865
759,33,226,500,882a134347fffff,153,1256163.53515625,4175.30581900151
429,27,108,294,882a134349fffff,154,1256830.7265625,4176.40796478528
1077,28,350,699,882a13434bfffff,155,1256350.734375,4175.61561520043
317,8,81,228,882a13434dfffff,156,1256976.74609375,4176.6486200361
1785,104,544,1137,882a134351fffff,157,1255391.64453125,4174.03186042243
3838,328,1176,2334,882a134353fffff,158,1254912.375,4173.24022221684
566,24,191,351,882a134355fffff,159,1255539.6328125,4174.27607893619
931,64,296,571,882a134357fffff,160,1255060.4609375,4173.4846444315
491,18,158,315,882a134359fffff,161,1255722.7890625,4174.57893013526
1917,107,408,1402,882a13435bfffff,162,1255243.40625,4173.78721424441
430,12,209,209,882a13435dfffff,163,1255871.07421875,4174.82360633714
1628,71,346,1211,882a134361fffff,164,1256459.3203125,4175.79378916168
3759,260,1031,2468,882a134363fffff,165,1255979.66796875,4175.00184102553
688,50,147,491,882a134365fffff,166,1256607.5390625,4176.03828862793
1149,19,156,974,882a134367fffff,167,1256127.5859375,4175.24589189109
2293,93,679,1521,882a134369fffff,168,1256791.40625,4176.34218267218
1672,91,584,997,882a13436bfffff,169,1256311.6640625,4175.55021422877
207,6,58,143,882a13436dfffff,170,1256939.5703125,4176.58657840023
262,8,74,180,882a134801fffff,171,1251737.1171875,4167.98679960706
307,19,81,207,882a134803fffff,172,1251260.1796875,4167.19788289688
951,33,141,777,882a134805fffff,173,1251882.37109375,4168.22684810891
2045,191,694,1160,882a134807fffff,174,1251405.41015625,4167.43794646705
2760,187,705,1868,882a134809fffff,175,1252068.82421875,4168.53558845831
3218,85,713,2420,882a13480bfffff,176,1251591.58984375,4167.74626939451
397,23,155,219,882a13480dfffff,177,1252214.3359375,4168.77599721723
1202,41,291,870,882a134811fffff,178,1250638.10546875,4166.16891174503
6190,431,1665,4094,882a134813fffff,179,1250161.58203125,4165.3803487504
567,19,184,364,882a134815fffff,180,1250783.16015625,4166.40872335656
1523,190,407,926,882a134817fffff,181,1250306.734375,4165.62039235159
8964,691,2586,5687,882a134819fffff,182,1250969.2734375,4166.71702277349
3317,212,1017,2088,882a13481bfffff,183,1250492.5859375,4165.92830781531
6283,190,893,5200,882a13481dfffff,184,1251114.78515625,4166.95755897425
801,36,234,531,882a134821fffff,185,1251695.8125,4167.91791541266
4679,319,1230,3130,882a134823fffff,186,1251218.77734375,4167.12883816859
487,8,112,367,882a134825fffff,187,1251840.74609375,4168.15745582831
558,30,214,314,882a134827fffff,188,1251364,4167.36890128169
5035,463,780,3792,882a134829fffff,189,1252027.71875,4168.4670325448
3213,243,1067,1903,882a13482bfffff,190,1251550.8828125,4167.67840566581
1747,145,554,1048,882a13482dfffff,191,1252172.7421875,4168.70667249297
2782,176,890,1716,882a134831fffff,192,1250597.26171875,4166.10073418566
2115,143,619,1353,882a134833fffff,193,1250120.7421875,4165.31221017141
1407,75,489,843,882a134835fffff,194,1250742.26953125,4166.34051176688
2670,158,972,1540,882a134839fffff,195,1250928.73046875,4166.64939658508
1453,82,561,810,882a13483bfffff,196,1250451.93359375,4165.86045520036
3283,180,818,2285,882a13483dfffff,197,1251073.50390625,4166.88869405809
5265,564,1562,3139,882a134841fffff,198,1252878.21875,4169.87406566135
5324,392,1510,3422,882a134843fffff,199,1252400.5546875,4169.08431551557
835,38,267,530,882a134845fffff,200,1253023.7890625,4170.11454921832
1697,110,459,1128,882a134847fffff,201,1252546.3671875,4169.32522921948
2373,156,688,1529,882a134849fffff,202,1253210.15234375,4170.422998539
6846,388,1375,5083,882a13484bfffff,203,1252732.421875,4169.63321666413
1718,125,487,1106,882a13484dfffff,204,1253355.91015625,4170.66370347378
7709,565,2214,4930,882a134851fffff,205,1251777.43359375,4168.05404349533
7592,1011,2398,4183,882a134853fffff,206,1251300.62890625,4167.26538473703
7017,480,1823,4714,882a134855fffff,207,1251923.4453125,4168.2953391568
15506,1370,3283,10853,882a134857fffff,208,1251446.0703125,4167.50578673282
7955,854,2425,4676,882a134859fffff,209,1252109.19140625,4168.60289992712
5872,524,1513,3835,882a13485bfffff,210,1251631.68359375,4167.81319899584
17876,677,2243,14956,882a13485dfffff,211,1252254.84765625,4168.84356783206
248,7,42,199,882a134861fffff,212,1252837.0546875,4169.80545084435
145,5,43,97,882a134863fffff,213,1252359.828125,4169.01640040257
188,4,36,148,882a134865fffff,214,1252982.59765625,4170.04588752662
569,31,178,360,882a134867fffff,215,1252505.09375,4169.25641382111
397,12,152,233,882a134869fffff,216,1253169.45703125,4170.35513732029
373,42,124,207,882a13486bfffff,217,1252691.79296875,4169.56548453689
38,2,15,21,882a13486dfffff,218,1253315.0546875,4170.59562530806
15502,1773,4474,9255,882a134881fffff,219,1248402.53515625,4162.46804447294
12639,1182,3834,7623,882a134883fffff,220,1247926.875,4161.68024107346
639,42,177,420,882a134885fffff,221,1248547.09765625,4162.70727917945
3278,204,870,2204,882a134887fffff,222,1248071.65234375,4161.91984952574
12344,972,2383,8989,882a134889fffff,223,1248732.84375,4163.01518741931
15884,1803,4607,9474,882a13488bfffff,224,1248257.41796875,4162.22786462651
10558,1228,3324,6006,882a13488dfffff,225,1248878.05859375,4163.25550777736
11312,929,2997,7386,882a134891fffff,226,1247307.21484375,4160.65388694478
26721,1021,5205,20495,882a134893fffff,227,1246832.2109375,4159.86684656254
6631,706,1599,4326,882a134895fffff,228,1247451.87890625,4160.89339112405
8475,396,2226,5853,882a134897fffff,229,1246976.88671875,4160.10638574496
19803,1728,5057,13018,882a134899fffff,230,1247637.234375,4161.20079872577
10684,913,3232,6539,882a13489bfffff,231,1247162.265625,4160.41387945479
14446,1021,3099,10326,882a13489dfffff,232,1247782.1328125,4161.44065361316
1448,46,430,972,882a1348a1fffff,233,1248360.734375,4162.3983118601
9125,741,2732,5652,882a1348a3fffff,234,1247885.765625,4161.6116344753
2232,173,575,1484,882a1348a5fffff,235,1248505.3046875,4162.63755126559
3554,249,919,2386,882a1348a7fffff,236,1248030.08984375,4161.85053219184
1306,9,163,1134,882a1348a9fffff,237,1248691.8125,4162.94674991565
969,20,152,797,882a1348abfffff,238,1248216.41796875,4162.15945365954
1316,37,348,931,882a1348adfffff,239,1248836.41015625,4163.18599467735
9135,919,2736,5480,882a1348b1fffff,240,1247266.15625,4160.58535628697
9152,400,2304,6448,882a1348b3fffff,241,1246791.33984375,4159.79859748871
12824,1468,4044,7312,882a1348b5fffff,242,1247410.45703125,4160.8242483624
12391,850,3398,8143,882a1348b7fffff,243,1246935.6484375,4160.03755820566
3273,289,994,1990,882a1348b9fffff,244,1247596.46484375,4161.13272579735
4682,208,1003,3471,882a1348bbfffff,245,1247121.3984375,4160.34567144937
5409,292,1583,3534,882a1348bdfffff,246,1247741.015625,4161.37203327326
11455,1711,3655,6089,882a1348c1fffff,247,1249539.703125,4164.35125862349
13018,1525,3953,7540,882a1348c3fffff,248,1249063.90625,4163.56353461923
4852,520,1533,2799,882a1348c5fffff,249,1249685.0625,4164.59168979508
11905,1440,3356,7109,882a1348c7fffff,250,1249208.8984375,4163.80337924308
